price,sqft,bedrooms,bathrooms,year_built,zip_code,latitude,longitude,description
689000,1420,3,2,1998,02118,42.3396,-71.0723,"Bright condo with updated kitchen and modern finishes."
779000,1650,3,2,2004,02118,42.3401,-71.0711,"Move-in ready unit with open layout and new appliances."
525000,1180,2,1.5,1985,02119,42.3235,-71.0810,"Cozy home with good bones, needs work in basement."
1199000,2580,4,3,2012,02446,42.3434,-71.1212,"Recently renovated single family with landscaped yard."
459000,960,2,1,1970,02124,42.2852,-71.0718,"Investor special sold as-is, strong location."
915000,1870,3,2.5,2008,02130,42.3132,-71.1145,"Updated bathrooms, new roof, and modern kitchen."
1345000,3020,5,3.5,2015,02478,42.3895,-71.1741,"Luxury build with high-end finishes and smart systems."
615000,1320,3,1.5,1992,02136,42.2550,-71.1280,"Well-maintained property, some cosmetic updates needed."
845000,1760,3,2,2001,02131,42.2817,-71.1268,"Spacious layout, move-in ready with renovated deck."
715000,1490,3,2,1999,02132,42.2795,-71.1597,"Modernized interior and updated heating system."
555000,1105,2,1,1988,02126,42.2744,-71.0930,"Good starter home, needs work but strong potential."
980000,2050,4,2.5,2010,02135,42.3509,-71.1577,"Renovated throughout with open concept main floor."
438000,875,2,1,1965,02122,42.2967,-71.0581,"As-is sale, ideal for contractor or investor."
1285000,2760,4,3,2014,02445,42.3325,-71.1390,"Move-in ready home with modern updates and garage."
665000,1395,3,2,1995,02120,42.3328,-71.0965,"Updated kitchen, but basement still needs work."
760000,1580,3,2,2006,02121,42.3044,-71.0846,"Bright and modern with new flooring and paint."
889000,1810,3,2.5,2009,02129,42.3782,-71.0630,"Renovated townhome close to transit."
502000,1025,2,1,1978,02125,42.3169,-71.0661,"TLC opportunity with solid structure and location."
1115000,2440,4,3,2011,02467,42.3208,-71.1676,"Recently updated, move-in ready, landscaped yard."
592000,1260,3,1.5,1990,02127,42.3331,-71.0421,"Well-kept unit with some dated finishes."
710000,1515,3,2,2000,02128,42.3706,-71.0386,"Modern kitchen and baths, near waterfront."
970000,2140,4,2.5,2013,02459,42.3097,-71.1903,"Updated design with energy-efficient systems."
485000,995,2,1,1972,02134,42.3557,-71.1311,"Needs work in kitchen and baths, priced accordingly."
1385000,3180,5,4,2016,02481,42.3146,-71.2425,"High-end renovated property with premium finishes."
640000,1365,3,2,1996,02115,42.3430,-71.0997,"Move-in ready condo with new appliances."
575000,1210,2,1.5,1989,02111,42.3504,-71.0605,"As-is but in excellent location near downtown."
835000,1745,3,2,2007,02116,42.3493,-71.0765,"Modern finishes and updated systems throughout."
1089000,2330,4,3,2012,02458,42.3570,-71.1950,"Renovated family home with large backyard."
465000,930,2,1,1968,02110,42.3574,-71.0537,"Fixer-upper with good layout and potential."
920000,1940,4,2.5,2009,02452,42.3944,-71.2216,"Updated home with move-in ready condition."
